Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned	fragment_length
LA62_S81_L001_R1_001_trim	232524.0	6790.0	225734.0	2.9201286748894737	0.0
LA63_S8_L001_R1_001_trim	173574.0	7850.0	165724.0	4.522566743867169	0.0
LA64_S19_L001_R1_001_trim	189792.0	84627.0	105165.0	44.58933990895296	0.0
LA66_S41_L001_R1_001_trim	101622.0	12532.0	89090.0	12.331975359666213	0.0
LA67_S52_L001_R1_001_trim	151659.0	3764.0	147895.0	2.481883699615585	0.0
LA6_S36_L001_R1_001_trim	75638.0	5707.0	69931.0	7.545149263597663	0.0
LA7_S47_L001_R1_001_trim	103193.0	7653.0	95540.0	7.416200711288557	0.0
LA80_S42_L001_R1_001_trim	97539.0	77624.0	19915.0	79.58252596397338	0.0
LA82_S63_L001_R1_001_trim	159052.0	3788.0	155264.0	2.381611045444257	0.0
LA87_S32_L001_R1_001_trim	45740.0	4396.0	41344.0	9.610843900306078	0.0
LA89_S54_L001_R1_001_trim	203883.0	24509.0	179374.0	12.021110146505594	0.0
LA91_S74_L001_R1_001_trim	56087.0	45219.0	10868.0	80.62296075739475	0.0
LA94_S22_L001_R1_001_trim	82259.0	75423.0	6836.0	91.68966313716432	0.0
LA95_S33_L001_R1_001_trim	52144.0	3493.0	48651.0	6.698757287511508	0.0
LA96_S44_L001_R1_001_trim	71287.0	7496.0	63791.0	10.515241208074404	0.0
LA97_S1_L001_R1_001_trim	47156.0	34304.0	12852.0	72.74577996437357	0.0
LA98_S13_L001_R1_001_trim	62621.0	26487.0	36134.0	42.29731240318743	0.0
ORCL8_S16_L001_R1_001_trim	70861.0	62633.0	8228.0	88.38853530150577	0.0
ORCL9_S32_L001_R1_001_trim	192370.0	170739.0	21631.0	88.75552321047981	0.0
ORDL8_S24_L001_R1_001_trim	178681.0	157998.0	20683.0	88.42462265154101	0.0
SDAL17_S53_L001_R1_001_trim	504520.0	48815.0	455705.0	9.675533180052327	0.0
SDBL5_S40_L001_R1_001_trim	219876.0	193788.0	26088.0	88.13513071003656	0.0
SDCL10_S48_L001_R1_001_trim	360278.0	312000.0	48278.0	86.59979238254904	0.0
WAAL6_S63_L001_R1_001_trim	356259.0	301035.0	55224.0	84.49891792207355	0.0
WABL8_S55_L001_R1_001_trim	357082.0	320176.0	36906.0	89.66455884082649	0.0
WAFL8_S8_L001_R1_001_trim	163981.0	26576.0	137405.0	16.20675566071679	0.0
